dataset,datasetId,project,projectId,siteName,siteId,siteVisitName,siteVisitId,siteVisitStartDate,siteVisitEndDate,description
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Calperum Mallee, core1ha",http://linked.data.gov.au/dataset/ausplots/site-sasmdd0001,20160401,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-calperum_mallee__core1ha_20160401,2016-04-01T00:00:00Z,2016-04-04T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Calperum Mallee, core1ha",http://linked.data.gov.au/dataset/ausplots/site-sasmdd0001,20180106,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-calperum_mallee__core1ha_20180106,2018-01-06T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Cumberland Plain, core1ha",https://w3id.org/tern/resources/746d82a8-dd66-49d8-a7ad-5a760358e71a,20140328,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-cumberland_plain__core1ha_20140328,2014-03-28T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Cumberland Plain, core1ha",https://w3id.org/tern/resources/746d82a8-dd66-49d8-a7ad-5a760358e71a,20140516,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-cumberland_plain__core1ha_20140516,2014-05-16T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Cumberland Plain, core1ha",https://w3id.org/tern/resources/746d82a8-dd66-49d8-a7ad-5a760358e71a,20150430,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-cumberland_plain__core1ha_20150430,2015-04-30T00:00:00Z,2015-05-03T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Cumberland Plain, core1ha",https://w3id.org/tern/resources/746d82a8-dd66-49d8-a7ad-5a760358e71a,20150504,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-cumberland_plain__core1ha_20150504,2015-05-04T00:00:00Z,2015-05-03T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Cumberland Plain, core1ha",https://w3id.org/tern/resources/746d82a8-dd66-49d8-a7ad-5a760358e71a,20150903,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-cumberland_plain__core1ha_20150903,2015-09-03T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Cumberland Plain, core1ha",https://w3id.org/tern/resources/746d82a8-dd66-49d8-a7ad-5a760358e71a,20151127,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-cumberland_plain__core1ha_20151127,2015-11-27T00:00:00Z,2015-12-01T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Cumberland Plain, core1ha",https://w3id.org/tern/resources/746d82a8-dd66-49d8-a7ad-5a760358e71a,20160418,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-cumberland_plain__core1ha_20160418,2016-04-18T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Cumberland Plain, core1ha",https://w3id.org/tern/resources/746d82a8-dd66-49d8-a7ad-5a760358e71a,20200626,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-cumberland_plain__core1ha_20200626,2020-06-26T00:00:00Z,N/A,
